title,source_name,domain,category,author,description,url,published_ts,ingested_at
"Ayo Adebiri, Bradley Cooper, Werner Herzog Join Bong Joon Ho's Ally - Deadline",Deadline,deadline.com,Other,Melanie Goodfellow,"Bong Joon Ho’s ‘Ally’ Sets Voice Cast With Alex Jayne Go, Ayo Adebiri, Bradley Cooper, Dave Bautista & Werner Herzog",http://deadline.com/2026/05/bong-joon-ho-ally-voice-ayo-adebiri-bradley-cooper-herzog-1236898754/,2026-05-12 05:00:00,2026-05-13 13:00:17.018437
"'American Idol' finale 2026: Did Hannah Harper, Jordan McCullough or Keyla Richardson win season 24 of 'American Idol'? - ABC7 Los Angeles",KABC-TV,abc7.com,Other,George Pennacchio,"Your new ""American Idol"" has been crowned! Here's how Monday night's finale played out.",https://abc7.com/post/who-won-american-idol-2026-season-24-hannah-harper-jordan-mccullough-keyla-richardson-finale-winner-crowned/19084292/,2026-05-12 06:07:12,2026-05-13 13:00:17.018437
Trump and Xi appear intent on keeping deep differences over Iran war from overshadowing China summit - AP News,Associated Press,apnews.com,Politics,Aamer Madhani,"President Donald Trump is set to leave for Beijing for high-stakes talks with President Xi Jinping. The U.S. has been trying to persuade China to use its influence over Iran to reopen the Strait of Hormuz. China, a major buyer of Iranian oil, insists it wants…",https://apnews.com/article/trump-xi-iran-sanctions-trade-48b0ca751712ce473ffcd207997928af,2026-05-12 08:10:00,2026-05-13 13:00:17.018437
Lakers eliminated by Thunder after crushing Game 4 loss as LeBron James suffers rare sweep - New York Post,New York Post,nypost.com,Other,Khobi Price,"In the end, the Thunder killed the Lakers’ 2025-26 season, with the Lakers falling to the Thunder in Game 4 and being eliminated from the playoffs.",https://nypost.com/2026/05/12/sports/lakers-eliminated-by-thunder-after-crushing-game-4/,2026-05-12 07:36:20,2026-05-13 13:00:17.018437
Hayden Panettiere Was Told to Get in Bed With a Famous Male Actor Who Was Naked When She Was 18 Years Old: ‘This Is Not Happening’ and ‘I Hid Wherever I Could’ - Variety,Variety,variety.com,Other,Zack Sharf,Hayden Panettiere was 18 years old when a famous friend lured into a room where a naked older actor was waiting for her to perform sex acts.,https://variety.com/2026/tv/news/hayden-panettiere-naked-actor-sex-1236745535/,2026-05-12 08:36:00,2026-05-13 13:00:17.018437
Archibald: Supreme Court helps Alabama erase the legacy of Selma - AL.com,AL.com,al.com,Other,AL.com,,https://www.al.com/news/2026/05/archibald-supreme-court-helps-alabama-erase-the-legacy-of-selma.html,2026-05-12 09:19:00,2026-05-13 13:00:17.018437
"AI-assisted hacking is already here, Google warns - Axios",Axios,axios.com,Tech,Sam Sabin,Researchers have found the first known case of cybercriminals using AI to exploit a zero-day flaw.,https://www.axios.com/2026/05/12/ai-hacking-found-google-report,2026-05-12 09:41:26,2026-05-13 13:00:17.018437
LA Lakers 110-115 Oklahoma City Thunder: LeBron James future unclear after play-off defeat - BBC,BBC News,bbc.com,Other,Mandeep Sanghera,"NBA legend LeBron James says he is unsure ""what the future holds for me"" after the Los Angeles Lakers are knocked out of the play-offs.",https://www.bbc.com/sport/basketball/articles/cg7p5jer8jmo,2026-05-12 06:49:10,2026-05-13 13:00:17.018437
EBay Rejects GameStop’s $56 Billion Takeover as Not Credible - Bloomberg.com,Bloomberg,bloomberg.com,Other,"Spencer Soper, Cecilia D'Anastasio","EBay Inc. rejected a $56 billion takeover offer from GameStop Corp. Chief Executive Officer Ryan Cohen, describing the unsolicited bid as “neither credible nor attractive.”",https://www.bloomberg.com/news/articles/2026-05-12/ebay-rejects-gamestop-s-56-billion-takeover-as-not-credible,2026-05-12 11:36:02,2026-05-13 13:00:17.018437
The Nancy Guthrie investigation could hang on a strand of DNA - CBS News,CBS News,cbsnews.com,Other,"Anna  Schecter, Pat  Milton",A strand of DNA. An eerie doorbell video. The investigation into Nancy Guthrie's disappearance reaches 100th day with no sign of a breakthrough.,https://www.cbsnews.com/news/nancy-guthrie-investigation-dna-100-days/,2026-05-12 11:12:17,2026-05-13 13:00:17.018437
Color crunch: Japan’s Calbee chip bags go monochrome as Iran war bites - CNN,CNN,cnn.com,Tech,Jessie Yeung,If you’re shopping for your favorite Calbee chips in Japan and see that familiar bag in black and white – it’s not a printing mistake.,https://www.cnn.com/2026/05/12/asia/calbee-chips-japan-packaging-middle-east-war-intl-hnk,2026-05-12 08:07:48,2026-05-13 13:00:17.018437
'The name was inaccurate': PCOS gets a new name after years-long effort - Live Science,Live Science,livescience.com,Other,Nicoletta Lanese,"Polycystic ovary syndrome, or PCOS, has just been given a new name that experts say better reflects the nature of the condition.",https://www.livescience.com/health/reproductive-health/the-name-was-inaccurate-pcos-gets-a-new-name-after-years-long-effort,2026-05-12 09:00:00,2026-05-13 13:00:17.018437
Inflation expected to jump to a 3-year high as Iran war continues to fuel rising prices - NBC News,NBC News,nbcnews.com,Business,Steve Kopack,April inflation data is widely expected to show it has risen to a nearly 3-year high when the Consumer Price Index is released Tuesday.,https://www.nbcnews.com/business/economy/april-inflation-data-iran-war-rcna344586,2026-05-12 09:00:00,2026-05-13 13:00:17.018437
EU diplomats agree to sanction Hamas leaders and Israeli settlers - NPR,NPR,npr.org,Other,The Associated Press,"The unanimous decision by the European Union, agreed to on Monday, was sparked by growing outrage over the devastation in Gaza during the Israel-Hamas war.",https://www.npr.org/2026/05/12/g-s1-121581/eu-sanction-hamas-leaders-israeli-settlers,2026-05-12 05:47:02,2026-05-13 13:00:17.018437
She's trying to outrun pancreatic cancer. Breakthrough treatments give her hope - NPR,NPR,npr.org,Other,,"Pancreatic cancer is notoriously lethal. But new treatments mean that may be changing, and people with the disease now have more reason to hope than ever before.",https://www.npr.org/2026/05/12/nx-s1-5783797/pancreatic-cancer-breakthroughs-daraxonrasib-mrna,2026-05-12 09:00:00,2026-05-13 13:00:17.018437
"As Republicans carve up Black districts, Democrats pivot to a new midterm message - Politico",Politico,politico.com,Other,Andrew Howard,"Democrats will be unable to respond to the GOP’s redistricting gains before the November elections, and are now turning the mapmaking fight into a political messaging battle.",https://www.politico.com/news/2026/05/12/republicans-redistricting-democrats-black-hispanic-districts-midterm-message-00915565,2026-05-12 08:40:00,2026-05-13 13:00:17.018437
How passengers from hantavirus-hit cruise ship are quarantining in U.S. - The Washington Post,The Washington Post,washingtonpost.com,Other,"Lauren Weber, Annie Gowen","More than a dozen Americans from the cruise ship at the center of the outbreak are being watched at a Nebraska facility, as the total number of cases rises to 11.",https://www.washingtonpost.com/health/2026/05/11/cruise-hantavirus-nebraska-quarantine/,2026-05-12 11:19:23,2026-05-13 13:00:17.018437
